Date/Time,3m T,5m T,7m T,Surface PAR
7/4/19 19:03,22.46,20.71,18.88,63
7/4/19 19:18,22.69,20.59,18.14,39
7/4/19 19:33,22.63,20.51,18.38,27
7/4/19 19:48,22.52,20.61,18.76,19
7/4/19 20:03,22.52,20.36,18.6,14
7/4/19 20:18,22.63,20.67,18.76,9
7/4/19 20:33,22.62,20.49,18.26,6
7/4/19 20:48,22.45,20.52,18.6,8
7/4/19 21:03,22.35,20.59,18.55,6
7/4/19 21:18,22.57,20.53,18.67,5
7/4/19 21:33,22.4,20.69,18.76,5
7/4/19 21:48,22.31,20.6,18.66,9
7/4/19 22:03,22.27,20.57,18.82,6
7/4/19 22:18,22.31,20.57,18.68,6
7/4/19 22:33,22.21,20.4,18.88,5
7/4/19 22:48,22.16,20.08,18.85,8
7/4/19 23:03,22.17,20.63,18.83,6
7/4/19 23:18,22.35,20.67,18.77,5
7/4/19 23:33,22.42,20.74,18.86,6
7/4/19 23:48,22.33,20.9,19,5
7/5/19 0:03,22.9,20.86,18.92,6
7/5/19 0:18,23.2,20.87,18.8,5
7/5/19 0:33,23.79,20.93,18.31,5
7/5/19 0:48,24.14,20.72,18.01,6
7/5/19 1:03,23.44,20.48,18.1,6
7/5/19 1:18,22.94,20.57,17.87,5
7/5/19 1:33,21.87,20.66,17.96,6
7/5/19 1:48,22.18,20.48,17.75,5
7/5/19 2:03,22.29,20.38,17.38,5
7/5/19 2:18,22.21,20.41,17.54,6
7/5/19 2:33,21.77,20.34,17.68,3
7/5/19 2:48,21.48,20.25,17.76,5
7/5/19 3:03,21.45,20.23,17.74,5
7/5/19 3:18,22.45,20.3,17.7,3
7/5/19 3:33,22.69,20.33,17.72,5
7/5/19 3:48,23.63,20.4,17.7,3
7/5/19 4:03,23.68,20.38,17.75,5
7/5/19 4:18,23.63,20.49,17.72,5
7/5/19 4:33,23.58,20.52,17.54,8
7/5/19 4:48,23.59,20.45,17.48,8
7/5/19 5:03,23.53,20.57,17.47,16
7/5/19 5:18,23.56,20.71,17.35,27
7/5/19 5:33,23.45,20.77,17.12,37
7/5/19 5:48,23.37,20.51,17.12,51
7/5/19 6:03,23.24,20.52,17.14,88
7/5/19 6:18,22.96,20.57,17.07,100
7/5/19 6:33,22.98,20.51,17.2,130
7/5/19 6:48,23.18,20.53,17.4,160
7/5/19 7:03,23.3,20.54,17.34,181
7/5/19 7:18,22.87,20.27,17.56,209
7/5/19 7:33,22.78,20.33,17.63,253
7/5/19 7:48,22.33,20.33,17.61,503
7/5/19 8:03,22.3,20.06,17.42,257
7/5/19 8:18,22.46,20.12,17.25,367
7/5/19 8:33,22.4,20.13,17.56,398
7/5/19 8:48,22.42,20.24,17.58,491
7/5/19 9:03,22.55,20.25,17.45,405
7/5/19 9:18,22.58,20.28,17.5,599
7/5/19 9:33,22.32,20.23,17.43,650
7/5/19 9:48,22.37,20.19,17.76,634
7/5/19 10:03,22.01,20.2,18.05,718
7/5/19 10:18,22.49,20.28,17.61,599
7/5/19 10:33,22.4,20.41,17.78,639
7/5/19 10:48,22.5,20.43,17.74,569
7/5/19 11:03,22.47,20.4,17.8,555
7/5/19 11:18,22.08,20.22,17.87,597
7/5/19 11:33,22.56,20.31,17.75,829
7/5/19 11:48,22.57,20.44,17.52,1670
7/5/19 12:03,22.44,20.46,17.73,739
7/5/19 12:18,22.59,20.42,17.68,1148
7/5/19 12:33,22.14,20.55,18.07,841
7/5/19 12:48,22.33,20.68,18.19,1115
7/5/19 13:03,22.24,20.73,18.42,741
7/5/19 13:18,22.5,20.79,18.42,633
7/5/19 13:33,22.67,20.72,18.43,2475
7/5/19 13:48,22.6,20.76,18.61,1188
7/5/19 14:03,22.94,20.68,18.58,655
7/5/19 14:18,22.64,20.68,18.65,781
7/5/19 14:33,23.34,20.62,18.91,1003
7/5/19 14:48,23.07,20.97,18.8,850
7/5/19 15:03,23.8,20.9,18.62,949
7/5/19 15:18,23.72,21,18.66,436
7/5/19 15:33,24.11,20.97,19.15,573
7/5/19 15:48,23.5,21.03,19.21,840
7/5/19 16:03,24.1,21.02,19.15,211
7/5/19 16:18,25.45,21.05,19.18,495
7/5/19 16:33,24.95,21.07,19.13,277
7/5/19 16:48,25.04,21.02,19.14,144
7/5/19 17:03,25.22,21.01,19.17,181
7/5/19 17:18,25.54,21.02,19.46,184
7/5/19 17:33,25.41,21.06,19.55,141
7/5/19 17:48,25.51,21.09,19.52,142
7/5/19 18:03,25.56,21.04,19.55,102
7/5/19 18:18,25.62,21.03,19.69,100
7/5/19 18:33,25.52,21.08,19.68,75
7/5/19 18:48,25.51,21.15,19.71,69
7/5/19 19:03,25.46,21.18,19.8,52
7/5/19 19:18,25.56,21.14,19.78,39
7/5/19 19:33,25.53,21,19.82,24
7/5/19 19:48,25.5,21.09,19.95,16
7/5/19 20:03,25.49,21.03,20.05,10
7/5/19 20:18,25.42,20.91,19.69,8
7/5/19 20:33,25.33,20.9,19.46,8
7/5/19 20:48,25.25,20.92,19.65,8
7/5/19 21:03,25.15,20.98,19.53,6
7/5/19 21:18,25.13,20.95,19.28,8
7/5/19 21:33,25.11,20.97,19.09,10
7/5/19 21:48,25.06,21.03,18.81,6
7/5/19 22:03,25.04,21.19,18.94,6
7/5/19 22:18,25.02,21.57,19.08,8
7/5/19 22:33,25.04,21.29,18.88,6
7/5/19 22:48,25.09,21.49,18.65,8
7/5/19 23:03,25.17,21.34,18.47,6
7/5/19 23:18,25.21,21.04,18.36,8
7/5/19 23:33,25.3,21.31,18.11,6
7/5/19 23:48,25.36,21.22,18.32,5
7/6/19 0:03,25.4,21.2,18.33,3
7/6/19 0:18,25.38,21.07,18.27,8
7/6/19 0:33,25.37,20.78,18.05,5
7/6/19 0:48,25.37,20.98,17.52,5
7/6/19 1:03,25.36,20.79,17.54,5
7/6/19 1:18,25.36,20.74,17.75,3
7/6/19 1:33,25.34,20.64,17.97,3
7/6/19 1:48,25.33,20.65,17.88,3
7/6/19 2:03,25.26,20.85,17.66,3
7/6/19 2:18,25.31,20.71,18.16,5
7/6/19 2:33,25.31,20.77,17.93,5
7/6/19 2:48,25.28,20.83,17.63,3
7/6/19 3:03,25.32,20.77,17.02,5
7/6/19 3:18,25.28,20.77,17.04,3
7/6/19 3:33,25.3,20.78,17.13,5
7/6/19 3:48,25.27,20.77,16.99,3
7/6/19 4:03,25.24,20.59,17.23,3
7/6/19 4:18,25.18,20.51,17.22,5
7/6/19 4:33,25.19,20.55,17.17,5
7/6/19 4:48,25.23,20.64,17.18,6
7/6/19 5:03,25.23,20.74,17.32,16
7/6/19 5:18,25.23,20.78,17.34,34
7/6/19 5:33,25.25,20.79,17.33,40
7/6/19 5:48,25.27,20.72,17.52,49
7/6/19 6:03,25.28,20.77,17.51,72
7/6/19 6:18,25.29,20.82,17.52,84
7/6/19 6:33,25.3,20.88,17.58,66
7/6/19 6:48,25.32,20.87,17.46,105
7/6/19 7:03,25.34,20.7,17.56,117
7/6/19 7:18,25.35,20.71,17.65,121
7/6/19 7:33,25.35,20.8,17.89,165
7/6/19 7:48,25.41,20.85,17.41,546
7/6/19 8:03,25.43,20.9,17.8,175
7/6/19 8:18,25.43,20.86,17.91,178
7/6/19 8:33,25.44,20.92,18.41,718
7/6/19 8:48,25.44,20.95,18.99,536
7/6/19 9:03,25.46,20.92,19.21,436
7/6/19 9:18,25.46,20.71,19.2,708
7/6/19 9:33,25.46,20.68,19.27,1060
7/6/19 9:48,25.48,20.61,19.25,687
7/6/19 10:03,25.58,20.66,19.26,1414
7/6/19 10:18,25.59,20.66,19.16,1022
7/6/19 10:33,25.76,20.72,19.26,388
7/6/19 10:48,25.73,20.75,19.28,1284
7/6/19 11:03,25.73,20.96,19.23,1124
7/6/19 11:18,25.66,20.71,19.34,787
7/6/19 11:33,25.61,20.79,19.15,724
7/6/19 11:48,25.59,20.8,18.97,569
7/6/19 12:03,25.54,20.96,18.73,828
7/6/19 12:18,25.58,20.88,18.83,1202
7/6/19 12:33,25.51,20.91,18.48,784
7/6/19 12:48,25.3,20.98,18.28,1383
7/6/19 13:03,25.16,20.98,17.93,1031
7/6/19 13:18,25.46,21,18.31,636
7/6/19 13:33,25.36,21.02,18.42,679
7/6/19 13:48,25.4,21.03,18.68,332
7/6/19 14:03,25.34,21.04,18.83,211
7/6/19 14:18,25.12,21.03,18.38,688
7/6/19 14:33,25.37,21.06,18.4,328
7/6/19 14:48,25.58,20.91,18.61,184
7/6/19 15:03,25.63,20.99,18.5,115
7/6/19 15:18,25.31,21.14,18.63,186
7/6/19 15:33,25.3,20.95,18.6,166
7/6/19 15:48,25.38,20.97,18.79,16
7/6/19 16:03,25.74,20.99,19.1,32
7/6/19 16:18,26.36,20.98,19.13,33
7/6/19 16:33,26.12,20.98,18.92,43
7/6/19 16:48,25.07,20.94,18.2,61
7/6/19 17:03,24.38,20.89,18.43,66
7/6/19 17:18,23.64,20.89,17.95,115
7/6/19 17:33,23.57,20.93,18.49,105
7/6/19 17:48,23.31,20.77,18.69,163
7/6/19 18:03,23.08,20.88,18.6,135
7/6/19 18:18,22.93,20.88,18.63,126
7/6/19 18:33,22.58,20.79,18.38,112
7/6/19 18:48,22.37,20.7,18.1,72
7/6/19 19:03,22.5,20.84,18,64
7/6/19 19:18,22.66,20.81,17.87,34
7/6/19 19:33,22.43,20.83,17.87,23
7/6/19 19:48,22.47,20.98,18.01,16
7/6/19 20:03,22.43,20.93,18.09,12
7/6/19 20:18,22.43,20.89,18.02,8
7/6/19 20:33,22.46,20.83,18.19,5
7/6/19 20:48,22.42,20.77,18.18,9
7/6/19 21:03,22.6,20.74,18.28,9
7/6/19 21:18,22.86,20.85,18.27,5
7/6/19 21:33,22.73,20.88,18.51,5
7/6/19 21:48,22.83,20.82,18.49,6
7/6/19 22:03,22.87,20.81,18.62,5
7/6/19 22:18,22.88,21.07,18.56,3
7/6/19 22:33,23.06,21.04,18.71,5
7/6/19 22:48,23.15,20.99,18.92,5
7/6/19 23:03,22.93,21.08,18.99,5
7/6/19 23:18,22.81,21.07,19.05,5
7/6/19 23:33,23.11,21.05,19.17,5
7/6/19 23:48,23.27,21.03,18.95,0
7/7/19 0:03,22.83,21.01,18.89,3
7/7/19 0:18,22.85,20.99,18.69,5
